LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,PCT_CITY11,PCT_CITY12,PCT_CITY13,PCT_SUB21,PCT_SUB22,PCT_SUB23,PCT_TOWN31,PCT_TOWN32,PCT_TOWN33,PCT_RURAL41,PCT_RURAL42,PCT_RURAL43
200630,Pelican City School District,2,14 Chum Way,Pelican,AK,99832,2,2105,Hoonah-Angoon Census Area,57.956804000000005,-136.222059,N,N,0,N,N,200,02002,0200A,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200660,Petersburg Borough School District,2,201 Charles W St,Petersburg,AK,99833,2,2195,Petersburg Borough,56.814831000000005,-132.954464,N,N,0,N,N,200,02002,0200A,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200670,Pribilof School District,2,930 Tolstoi Blvd,St. Paul Island,AK,99660,2,2016,Aleutians West Census Area,57.120896,-170.279219,N,N,0,N,N,200,02037,0200S,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200680,Saint Mary's School District,2,1 Dixon Circle,Saint Mary's,AK,99658,2,2158,Kusilvak Census Area,62.052226000000005,-163.180707,N,N,0,N,N,200,02039,0200T,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200690,Skagway School District,2,1563 Main St,Skagway,AK,99840,2,2230,Skagway Municipality,59.463181,-135.307408,N,N,0,N,N,200,02003,0200B,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200700,Southeast Island School District,2,1010 Sandy Beach Rd,Thorne Bay,AK,99919,2,2198,Prince of Wales-Hyder Census Area,55.689263000000004,-132.524451,N,N,0,N,N,200,02002,0200A,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200710,Southwest Region School District,2,574 Kenny Wren Rd,Dillingham,AK,99576,2,2070,Dillingham Census Area,59.043046000000004,-158.468244,N,N,0,N,N,200,02037,0200S,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200715,Tanana City School District,2,closed,closed,AK,99709,2,2290,Yukon-Koyukuk Census Area,65.171308,-152.08784400000002,N,N,0,N,N,200,02036,0200R,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200720,Unalaska City School District,2,55 E Broadway St,Unalaska,AK,99685,2,2016,Aleutians West Census Area,53.872671000000004,-166.529624,N,N,0,N,N,200,02037,0200S,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200730,Chatham School District,2,500 Big Dog Salmon Way,Angoon,AK,99820,2,2105,Hoonah-Angoon Census Area,57.497734,-134.584631,N,N,0,N,N,200,02002,0200A,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200760,Kuspuk School District,2,100 Boundary Ave,Aniak,AK,99557,2,2050,Bethel Census Area,61.582025,-159.538328,N,N,0,N,N,200,02037,0200S,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200770,Denali Borough School District,2,1 Suntrana St,Healy,AK,99743,2,2068,Denali Borough,63.872903,-149.01553900000002,N,N,0,N,N,200,02030,0200O,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200775,Yukon Flats School District,2,123 Hill St,Ft. Yukon,AK,99740,2,2290,Yukon-Koyukuk Census Area,66.564638,-145.254014,N,N,0,N,N,200,02036,0200R,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200780,Valdez City School District,2,1112 W Klutina,Valdez,AK,99686,2,2063,Chugach Census Area,61.133205000000004,-146.376124,N,N,0,N,N,200,02029,0200O,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
200800,Chugach School District,2,9312 Vanguard Dr Ste 100,Anchorage,AK,99507,2,2020,Anchorage Municipality,61.1364,-149.848232,11260,"Anchorage, AK",1,N,N,200,02011,0200F,2024-2025,11,88.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02
200810,Wrangell Public School District,2,350 Bennett St,Wrangell,AK,99929,2,2275,Wrangell City and Borough,56.47256,-132.374653,N,N,0,N,N,200,02001,0200A,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
